16.0,10.0,2021.0,3.0,0.8,170.0,8.1,94.5,50.0
16.0,10.0,2021.0,4.0,0.0,0.0,8.0,94.5,49.0
16.0,10.0,2021.0,5.0,0.0,0.0,7.7,95.5,48.0
16.0,10.0,2021.0,6.0,0.0,0.0,7.65,95.5,49.0
16.0,10.0,2021.0,7.0,0.0,0.0,8.9,97.0,50.0
16.0,10.0,2021.0,8.0,0.5,140.0,12.55,86.5,50.0
16.0,10.0,2021.0,9.0,1.4,100.0,16.45,70.0,48.0
16.0,10.0,2021.0,10.0,1.5,70.0,18.35,62.0,48.0
16.0,10.0,2021.0,11.0,1.5,80.0,19.65,51.5,47.0
16.0,10.0,2021.0,12.0,1.4,130.0,20.8,45.5,47.0
16.0,10.0,2021.0,13.0,1.5,230.0,21.1,47.0,45.0
16.0,10.0,2021.0,14.0,2.2,240.0,21.55,50.5,46.0
16.0,10.0,2021.0,15.0,3.2,230.0,21.25,52.0,46.0
16.0,10.0,2021.0,16.0,2.4,240.0,20.0,58.0,45.0
16.0,10.0,2021.0,17.0,0.9,250.0,18.35,65.5,46.0
16.0,10.0,2021.0,18.0,0.0,0.0,15.8,76.0,46.0
16.0,10.0,2021.0,19.0,0.5,20.0,13.75,84.5,48.0
16.0,10.0,2021.0,20.0,0.0,0.0,12.4,89.0,49.0
16.0,10.0,2021.0,21.0,0.0,0.0,11.5,91.5,50.0
16.0,10.0,2021.0,22.0,0.0,0.0,10.8,93.5,48.0
16.0,10.0,2021.0,23.0,0.0,0.0,10.25,94.5,47.0
17.0,10.0,2021.0,0.0,0.0,0.0,9.65,95.0,47.0
17.0,10.0,2021.0,1.0,0.0,0.0,9.0,95.5,48.0
17.0,10.0,2021.0,2.0,0.0,0.0,8.5,96.5,47.0
17.0,10.0,2021.0,3.0,0.0,0.0,8.15,96.5,48.0
17.0,10.0,2021.0,4.0,0.0,0.0,7.75,96.5,48.0
17.0,10.0,2021.0,5.0,0.0,0.0,7.5,97.0,49.0
17.0,10.0,2021.0,6.0,0.0,0.0,7.15,97.0,49.0
17.0,10.0,2021.0,7.0,0.0,0.0,8.2,98.0,49.0
17.0,10.0,2021.0,8.0,0.5,110.0,12.0,84.5,48.0
17.0,10.0,2021.0,9.0,1.6,90.0,16.05,65.0,47.0
17.0,10.0,2021.0,10.0,0.0,0.0,19.1,52.5,48.0
17.0,10.0,2021.0,11.0,1.2,200.0,20.95,45.0,47.0
17.0,10.0,2021.0,12.0,1.5,230.0,21.45,43.0,46.0
17.0,10.0,2021.0,13.0,1.7,210.0,21.9,40.5,45.0
17.0,10.0,2021.0,14.0,2.2,190.0,21.95,42.0,44.0
17.0,10.0,2021.0,15.0,2.2,240.0,21.65,45.0,44.0
17.0,10.0,2021.0,16.0,2.3,250.0,20.8,49.5,44.0
17.0,10.0,2021.0,17.0,1.3,240.0,18.65,61.5,44.0
17.0,10.0,2021.0,18.0,0.0,0.0,15.85,74.5,46.0
17.0,10.0,2021.0,19.0,0.0,0.0,13.4,84.0,46.0
17.0,10.0,2021.0,20.0,0.0,0.0,11.85,90.0,46.0
17.0,10.0,2021.0,21.0,0.0,0.0,10.95,93.0,46.0
17.0,10.0,2021.0,22.0,0.0,0.0,10.25,94.5,45.0
17.0,10.0,2021.0,23.0,0.0,0.0,9.65,95.5,47.0
18.0,10.0,2021.0,0.0,0.0,0.0,9.0,95.5,46.0
18.0,10.0,2021.0,1.0,0.0,0.0,8.7,96.5,47.0
18.0,10.0,2021.0,2.0,0.0,0.0,8.35,96.5,46.0
18.0,10.0,2021.0,3.0,0.0,0.0,8.05,96.5,47.0
18.0,10.0,2021.0,4.0,0.0,0.0,7.8,96.5,46.0
18.0,10.0,2021.0,5.0,0.0,0.0,7.95,97.0,46.0
18.0,10.0,2021.0,6.0,0.0,0.0,7.75,96.5,49.0
18.0,10.0,2021.0,7.0,0.0,0.0,8.75,97.5,66.0
18.0,10.0,2021.0,8.0,0.9,120.0,11.8,87.5,82.0
18.0,10.0,2021.0,9.0,1.7,90.0,15.15,71.5,93.0
18.0,10.0,2021.0,10.0,0.9,190.0,17.8,63.0,98.0
18.0,10.0,2021.0,11.0,1.9,220.0,19.65,56.0,96.0
18.0,10.0,2021.0,12.0,0.8,270.0,20.8,54.0,86.0
18.0,10.0,2021.0,13.0,1.5,270.0,20.65,53.0,81.0
18.0,10.0,2021.0,14.0,2.0,240.0,20.5,55.0,95.0
